id,Age,Sexe,Ethnie,Etat,Signes de maladie mentale,Niveau de menace,Fuite,Camera corporelle,Categorie arme,Mois,Year,Jour du mois,Blanc,Noir,Hispanique,Natif,Asiatique,Autre
199,26,M,Blanc,FL,0,Autre,Pas de fuite,0,Non Armé,3,2015,4,0.53,0.15,0.26,0.0,0.03,0.02
249,28,M,Asiatique,CA,0,Attaque,Pas de fuite,0,Arme a feu,3,2015,4,0.37,0.05,0.39,0.0,0.15,0.03
200,45,M,Noir,WI,1,Autre,Pas de fuite,0,Objets tranchants,3,2015,5,0.81,0.06,0.07,0.01,0.03,0.02
201,36,M,Hispanique,CA,0,Autre,En voiture,0,Non Armé,3,2015,5,0.37,0.05,0.39,0.0,0.15,0.03
202,34,M,Blanc,NE,0,Attaque,Pas de fuite,0,Arme a feu,3,2015,5,0.79,0.04,0.11,0.01,0.02,0.03
203,19,M,Noir,WI,0,Attaque,A pied,0,Non Armé,3,2015,6,0.81,0.06,0.07,0.01,0.03,0.02
269,37,M,Noir,CO,0,Indetermine,A pied,0,Non Armé,3,2015,6,0.68,0.04,0.22,0.0,0.03,0.03
270,48,M,Noir,FL,0,Autre,Pas de fuite,0,Autre,3,2015,6,0.53,0.15,0.26,0.0,0.03,0.02
271,29,M,Blanc,AZ,0,Attaque,Pas de fuite,0,Arme a feu,3,2015,7,0.54,0.04,0.32,0.04,0.03,0.02
204,43,F,Noir,CA,1,Autre,Pas de fuite,1,Objets tranchants,3,2015,8,0.37,0.05,0.39,0.0,0.15,0.03
272,40,M,Hispanique,OK,0,Attaque,Pas de fuite,0,Arme a feu,3,2015,8,0.65,0.07,0.11,0.08,0.02,0.07
273,35,M,Blanc,DE,0,Attaque,En voiture,0,Autre,3,2015,8,0.62,0.21,0.09,0.0,0.04,0.03
205,27,M,Noir,GA,1,Autre,Pas de fuite,0,Non Armé,3,2015,9,0.52,0.31,0.1,0.0,0.04,0.02
274,58,M,Blanc,NC,0,Attaque,Pas de fuite,0,Arme a feu,3,2015,9,0.63,0.21,0.1,0.01,0.03,0.03
275,46,M,Blanc,CO,0,Attaque,Pas de fuite,0,Arme a feu,3,2015,9,0.68,0.04,0.22,0.0,0.03,0.03
276,30,M,Noir,FL,0,Attaque,Pas de fuite,0,Arme a feu,3,2015,9,0.53,0.15,0.26,0.0,0.03,0.02
206,64,M,Noir,OH,0,Attaque,Pas de fuite,1,Arme a feu,3,2015,10,0.79,0.12,0.04,0.0,0.02,0.03
278,31,M,Noir,LA,0,Attaque,Pas de fuite,0,Arme a feu,3,2015,10,0.59,0.32,0.05,0.01,0.02,0.02
536,23,M,Blanc,GA,0,Attaque,Pas de fuite,1,Objets tranchants,3,2015,10,0.52,0.31,0.1,0.0,0.04,0.02
883,37,M,Hispanique,CA,1,Autre,En voiture,0,Objets tranchants,3,2015,10,0.37,0.05,0.39,0.0,0.15,0.03
248,37,M,Noir,MD,0,Autre,Pas de fuite,0,Autre,3,2015,11,0.5,0.29,0.1,0.0,0.06,0.03
277,31,M,Blanc,TN,1,Attaque,Pas de fuite,0,Arme a feu,3,2015,11,0.74,0.17,0.05,0.0,0.02,0.02
279,39,M,Hispanique,CA,0,Attaque,Pas de fuite,0,Arme a feu,3,2015,11,0.37,0.05,0.39,0.0,0.15,0.03
281,31,M,Blanc,AZ,1,Attaque,Pas de fuite,0,Autre,3,2015,11,0.54,0.04,0.32,0.04,0.03,0.02
307,54,M,Blanc,AL,0,Attaque,Pas de fuite,0,Arme a feu,3,2015,11,0.66,0.26,0.04,0.0,0.01,0.02
581,53,M,Blanc,AL,1,Attaque,Pas de fuite,0,Arme a feu,3,2015,11,0.66,0.26,0.04,0.0,0.01,0.02
796,25,M,Hispanique,CA,0,Autre,Pas de fuite,0,Autre,3,2015,11,0.37,0.05,0.39,0.0,0.15,0.03
282,35,M,Noir,DC,1,Autre,Pas de fuite,0,Non Armé,3,2015,12,0.37,0.45,0.11,0.0,0.04,0.03
207,41,M,Hispanique,CA,0,Autre,Autre,0,Arme a feu,3,2015,13,0.37,0.05,0.39,0.0,0.15,0.03
283,59,M,Blanc,MO,0,Attaque,Pas de fuite,0,Arme a feu,3,2015,13,0.8,0.11,0.04,0.0,0.02,0.03
289,36,M,Blanc,CA,0,Attaque,Pas de fuite,0,Objets tranchants,3,2015,13,0.37,0.05,0.39,0.0,0.15,0.03
351,32,M,Hispanique,CA,0,Autre,A pied,0,Non Armé,3,2015,13,0.37,0.05,0.39,0.0,0.15,0.03
208,53,M,Blanc,WV,0,Autre,Pas de fuite,0,Objets tranchants,3,2015,14,0.92,0.04,0.01,0.0,0.01,0.02
209,26,M,Blanc,WI,0,Attaque,En voiture,0,Arme a feu,3,2015,14,0.81,0.06,0.07,0.01,0.03,0.02
287,29,M,Hispanique,TX,1,Attaque,Pas de fuite,0,Arme a feu,3,2015,14,0.41,0.12,0.4,0.0,0.05,0.02
210,27,M,Blanc,MS,0,Autre,Pas de fuite,0,Objets tranchants,3,2015,15,0.57,0.38,0.03,0.0,0.01,0.01
212,28,M,Blanc,MN,1,Attaque,Pas de fuite,0,Arme a feu,3,2015,16,0.8,0.06,0.05,0.01,0.05,0.03
213,52,M,Blanc,NC,1,Attaque,Pas de fuite,0,Arme a feu,3,2015,16,0.63,0.21,0.1,0.01,0.03,0.03
